ID,Variable 1,Dependency,Variable 2
538,Event_PSE_QuickStop_AT,->,Event_PSE_WingAnyone_AT
539,Event_TSE_Goal_HT,->,Event_TSE_ExperienceFwd_Goal_HT
540,Event_PSE_UnpredOwnGoal_AT,->,Event_PSE_UnpredMistake_OwnGoal_AT
541,Event_TSE_CornerHead_AT,->,Event_TSE_CornerHead_Goal_AT
542,Event_PSE_UnpredSpecial_AT,->,Event_PSE_UnpredSpecial_Goal_AT
543,TacticType_AT,->,Event_Normal_ChanceDFK_AT
544,Event_PSE_TechHead_HT,->,Event_PSE_UnpredSpecial_HT
545,CDs_and_WBs_HT,->,Event_CA_HT
546,TacticType_AT,->,Event_Normal_ChancePK_AT
547,Event_PSE_QuickPass_HT,->,Event_PSE_QuickRush_HT
548,Event_PSE_Goal_AT,->,Event_PSE_UnpredSpecial_Goal_AT
549,Event_PSE_UnpredLongPass_Goal_AT,->,Event_PSE_Unpred_Goals_AT
550,Event_Normal_HT,->,Event_SEZ_PDIM_HT
551,Event_PSE_UnpredScoreOwn_HT,->,Event_PSE_TechHead_HT
552,Event_PSE_TechHead_HT,->,Event_PSE_TechHead_Goal_HT
553,Wingers_HT,->,Forwards_HT
554,Event_CA_ChanceMid_AT,->,Event_CA_ChanceMid_Goal_AT
555,Event_TSE_CornerAnyone_AT,->,Event_TSE_ExperienceFwd_AT
556,Head_offensives_HT,->,Technical_offensives_HT
557,CA_tactic_HT,->,Event_Normal_ChanceLSNonTactic_AT
558,Longshots_tactic_HT,->,Event_PSE_QuickRush_Goal_HT
559,Wingers_AT,->,Event_CA_ChanceLeft_Goal_AT
560,TacticType_AT,->,Event_Normal_ChanceIFK_AT
561,Unpredictable_offensives_AT,->,Unpredictable_own_goal_players_AT
562,Longshots_tactic_AT,->,RatingISPAtt_AT
563,Event_PSE_Goal_AT,->,Event_PSE_WingAnyone_AT
564,Event_PSE_Unpred_Goals_AT,->,Event_PSE_TechHead_Goal_AT
565,Event_PSE_QuickRush_AT,->,Event_PSE_WingAnyone_AT
566,Unpredictable_own_goal_players_HT,->,Head_opposing_players_HT
567,Event_PSE_Unpred_Goals_AT,->,Event_PSE_Wing_Goal_AT
568,Event_PSE_QuickRush_Goal_AT,->,Event_PSE_QuickRush_AT
569,Event_Normal_ChanceLRM_Goal_HT,->,Event_Normal_ChanceMid_Goal_HT
570,Event_PSE_UnpredOwnGoal_AT,->,Event_PSE_OwnGoal_AT
571,Quick_offensives_HT,->,Event_PSE_QuickStop_HT
572,RatingRightDef_HT,->,RatingLeftDef_HT
573,Event_TSE_InexpDef_HT,->,Event_TSE_CornerHead_HT
574,Goals_AT,->,Event_CA_Goal_AT
575,Head_offensives_HT,->,Quick_offensives_HT
576,Event_TSE_ExperienceFwd_HT,->,Event_TSE_CornerHead_HT
577,Event_Normal_ChanceRight_Goal_HT,->,Event_Normal_ChanceLeft_Goal_HT
578,PDIMs_HT,->,PNFs_HT
579,Event_Normal_AT,->,Event_Normal_ChanceLeft_AT
580,Unpredictable_defenders_AT,->,Unpredictable_players_AT
581,Creatively_tactic_AT,->,Event_PSE_AT
582,Event_CA_ChanceIFK_HT,->,Event_CA_ChanceIFK_Goal_HT
583,Event_SE_Goal_AT,->,Goals_AT
584,Event_Normal_ChanceLSNonTactic_HT,->,Event_Normal_ChanceLSNonTactic_Goal_HT
585,Event_PSE_AT,->,Event_PSE_WingAnyone_AT
586,Event_TSE_AT,->,Event_TSE_Goal_AT
587,Forwards_HT,->,RatingMidAtt_HT
588,Event_PSE_HT,->,Event_PSE_TechHead_HT
589,Event_CA_ChanceLeft_Goal_AT,->,Event_CA_ChanceRight_Goal_AT
590,Event_PSE_QuickRush_Goal_HT,->,Event_PSE_QuickPass_Goal_HT
591,RatingMidDef_HT,->,CDs_HT
592,Event_CA_ChanceMid_AT,->,Event_CA_ChanceIFK_AT
593,Event_CA_AT,->,Event_CA_ChanceIFK_Goal_AT
594,TacticType_HT,->,Event_Normal_ChanceMid_HT
595,Longshots_tactic_HT,->,Event_Normal_ChanceLS_HT
596,Event_PSE_UnpredScoreOwn_HT,->,Event_PSE_UnpredLongPass_HT
597,Event_PSE_OwnGoal_HT,->,Unpredictable_offensives_HT
598,Event_CA_HT,->,Event_CA_ChanceIFK_Goal_HT
599,Event_SE_Goal_AT,->,Event_CA_Goal_AT
600,Event_PSE_Unpred_Goals_HT,->,Event_PSE_Goal_HT
601,Event_Normal_Goal_AT,->,Event_Normal_AT
602,Event_Normal_ChanceRight_Goal_AT,->,Event_Normal_ChanceRight_AT
603,Event_PSE_UnpredLongPass_Goal_AT,->,Event_PSE_UnpredScoreOwn_Goal_AT
604,Event_Normal_ChanceLS_AT,->,Event_Normal_ChanceLS_Goal_AT
605,Event_SEZ_PNF_Goal_HT,->,Event_Normal_Goal_HT
606,CDs_and_WBs_HT,->,Forwards_HT
607,Unpredictable_players_AT,->,Corner_headers_offence_AT
608,Technical_offensives_AT,->,Event_PSE_TechHead_AT
609,Event_PSE_QuickStop_AT,->,Event_PSE_QuickRush_AT
610,Unpredictable_own_goal_players_HT,->,Unpredictable_mistake_players_HT
611,Event_TSE_InexpDef_HT,->,Event_TSE_CornerAnyone_HT
612,Event_TSE_ExperienceFwd_HT,->,Event_TSE_CornerAnyone_HT
613,Event_TSE_ExperienceFwd_Goal_AT,->,Event_TSE_Corner_Goal_AT
614,Event_PSE_Goal_HT,->,Event_PSE_Quick_Goal_HT
615,Longshots_tactic_AT,->,Event_TSE_ExperienceFwd_AT
616,Event_PSE_UnpredScoreOwn_HT,->,Event_PSE_UnpredScoreOwn_Goal_HT
617,Event_PSE_Unpred_Goals_HT,->,Event_PSE_UnpredMistake_HT
618,CA_tactic_HT,->,Event_TSE_InexpDef_HT
619,Event_CA_ChanceLMR_Goal_AT,->,Event_CA_ChanceLeft_Goal_AT
620,Event_PSE_HT,->,Event_PSE_UnpredOwnGoal_HT
621,Event_PSE_HT,->,Event_PSE_QuickStop_HT
622,Event_PSE_Goal_AT,->,Event_PSE_QuickRush_AT
623,Event_TSE_ExperienceFwd_AT,->,Event_TSE_ExperienceFwd_Goal_AT
624,Event_TSE_ExperienceFwd_HT,->,Event_TSE_ExperienceFwd_Goal_HT
625,Event_PSE_HT,->,Event_PSE_UnpredLongPass_HT
626,RatingRightDef_AT,->,Score_left_HT
627,RatingMidfield_AT,->,Forwards_AT
628,Event_TSE_AT,->,Event_TSE_CornerAnyone_AT
629,TacticType_AT,->,CA_tactic_AT
630,Unpredictable_special_action_players_HT,->,Quick_offensives_HT
631,PNFs_HT,->,Unpredictable_own_goal_players_HT
632,RatingMidAtt_AT,->,RatingRightAtt_AT
633,Event_CA_ChanceRight_Goal_AT,->,Event_CA_ChanceMid_Goal_AT
634,Event_TSE_HT,->,Event_TSE_ExperienceFwd_HT
635,RatingLeftDef_HT,->,CDs_and_WBs_HT
636,Event_CA_ChanceLeft_HT,->,Event_CA_ChanceMid_Goal_HT
637,Event_Normal_ChanceIFK_Goal_HT,->,Event_Normal_ChanceISP_Goal_HT
638,Event_PSE_TechHead_Goal_AT,->,Event_PSE_Wing_Goal_AT
639,Event_CA_HT,->,Event_CA_ChanceIFK_HT
640,Event_TSE_InexpDef_Goal_AT,->,Event_TSE_Corner_Goal_AT
641,Forwards_AT,->,Unpredictable_own_goal_players_AT
642,Event_PSE_UnpredMistake_OwnGoal_HT,->,Event_PSE_UnpredOwnGoal_OwnGoal_HT
643,Event_Normal_ChanceDFK_HT,->,Event_Normal_ChancePK_HT
644,RatingMidAtt_HT,->,PNFs_HT
645,Event_PSE_QuickStop_HT,->,Event_PSE_UnpredLongPass_HT
646,RatingMidfield_HT,->,RatingMidfield_AT
647,Unpredictable_own_goal_players_AT,->,Event_PSE_UnpredOwnGoal_AT
648,Event_Normal_HT,->,Event_Normal_ChanceMid_HT
649,Event_PSE_AT,->,Event_PSE_QuickRush_AT
650,Event_PSE_Wing_Goal_AT,->,Event_PSE_WingAnyone_Goal_AT
651,Event_PSE_HT,->,Event_PSE_Goal_HT
652,Event_PSE_QuickRush_Goal_AT,->,Event_PSE_QuickPass_Goal_AT
653,CDs_and_WBs_AT,->,Event_TSE_ExperienceFwd_AT
654,RatingISPDef_AT,->,Score_ISP_HT
655,Event_Normal_ChanceDFK_AT,->,Event_Normal_AT
656,Event_PSE_UnpredScoreOwn_AT,->,Event_PSE_TechHead_AT
657,Event_PSE_Goal_HT,->,Event_SE_Goal_HT
658,Event_PSE_AT,->,Event_PSE_UnpredLongPass_Goal_AT
