ID,Variable 1,Dependency,Variable 2
625,Head_offensives_AT,->,Event_PSE_WingAnyone_AT
626,Event_PSE_Unpred_Goals_AT,->,Event_PSE_Goal_AT
627,Event_PSE_Quick_Goal_AT,->,Event_PSE_Goal_AT
628,Event_PSE_TechHead_Goal_AT,->,Event_PSE_Goal_AT
629,Event_PSE_Wing_Goal_AT,->,Event_PSE_Goal_AT
630,Event_PSE_QuickPass_AT,->,Event_PSE_AT
631,Event_PSE_WingAnyone_AT,->,Event_PSE_AT
632,Event_PSE_QuickStop_AT,->,Event_PSE_AT
633,Event_PSE_Goal_AT,->,Event_PSE_AT
634,Event_PSE_UnpredMistake_AT,->,Event_PSE_AT
635,PSE_unpred_chances_missed_AT,->,Event_PSE_AT
636,Event_PSE_UnpredOwnGoal_AT,->,Event_PSE_AT
637,Event_PSE_UnpredLongPass_AT,->,Event_PSE_AT
638,Event_PSE_TechHead_AT,->,Event_PSE_AT
639,Event_PSE_QuickRush_AT,->,Event_PSE_AT
640,Event_PSE_WingAnyone_AT,->,Event_TSE_TiredDef_AT
641,Event_PSE_AT,->,Event_TSE_TiredDef_AT
642,Creatively_tactic_HT,->,Event_TSE_CornerAnyone_AT
643,Event_PSE_HT,->,Event_TSE_CornerAnyone_AT
644,TacticType_AT,->,Event_TSE_CornerAnyone_AT
645,Event_PSE_AT,->,Event_TSE_CornerAnyone_AT
646,TacticType_HT,->,Event_TSE_CornerAnyone_HT
647,Event_PSE_HT,->,Event_TSE_CornerAnyone_HT
648,Creatively_tactic_AT,->,Event_TSE_CornerAnyone_HT
649,Event_PSE_AT,->,Event_TSE_CornerAnyone_HT
650,Event_TSE_TiredDef_AT,->,Event_TSE_TiredDef_Goal_AT
651,Event_PSE_Goal_AT,->,Event_TSE_TiredDef_Goal_AT
652,Longshots_tactic_AT,->,Event_TSE_Corner_Goal_AT
653,Event_TSE_CornerHead_Goal_AT,->,Event_TSE_Corner_Goal_AT
654,Event_TSE_CornerAnyone_AT,->,Event_TSE_Corner_Goal_AT
655,Event_TSE_CornerAnyone_HT,->,Event_TSE_Corner_Goal_HT
656,Longshots_tactic_HT,->,Event_TSE_Corner_Goal_HT
657,Event_TSE_CornerHead_Goal_HT,->,Event_TSE_Corner_Goal_HT
658,Event_TSE_Corner_Goal_AT,->,Event_TSE_CornerAnyone_Goal_AT
659,Event_TSE_CornerHead_Goal_AT,->,Event_TSE_CornerAnyone_Goal_AT
660,Event_TSE_CornerHead_Goal_HT,->,Event_TSE_CornerAnyone_Goal_HT
661,Event_TSE_Corner_Goal_HT,->,Event_TSE_CornerAnyone_Goal_HT
662,Event_TSE_Corner_Goal_AT,->,Event_TSE_Goal_AT
663,Event_TSE_ExperienceFwd_Goal_AT,->,Event_TSE_Goal_AT
664,Event_TSE_InexpDef_Goal_AT,->,Event_TSE_Goal_AT
665,Event_TSE_InexpDef_Goal_HT,->,Event_TSE_Goal_HT
666,Event_TSE_Corner_Goal_HT,->,Event_TSE_Goal_HT
667,Event_TSE_ExperienceFwd_Goal_HT,->,Event_TSE_Goal_HT
668,Event_TSE_CornerAnyone_AT,->,Event_TSE_AT
669,Event_TSE_ExperienceFwd_AT,->,Event_TSE_AT
670,Event_TSE_Corner_Goal_AT,->,Event_TSE_AT
671,Event_TSE_CornerHead_AT,->,Event_TSE_AT
672,Event_TSE_InexpDef_AT,->,Event_TSE_AT
673,Event_TSE_CornerAnyone_HT,->,Event_TSE_HT
